username,userid,profile_location,created_at,text,retweet_count,source,coordinates
CORFAC International,154186838,"Des Plaines, IL",2023-01-20 16:04:10,"#FlashbackFriday to the Seattle Fall Summit where members Jeff Pollock, Mason Capitani, David Boyd and Paul Fogel c… https://t.co/crGXKHVaoX",0,Hootsuite Inc.,
Violet Fox,361982257,Chicago,2023-01-20 15:34:49,"New #Wikipedia article for Gregory Blackstock, a Seattle artist who died earlier this month. Regarded as an… https://t.co/V5Hs1hh8H0",3,Twitter for Android,
Jeffery 🇧🇿,1228729012320645122,"Chicago, IL",2023-01-20 15:28:04,"@n0r1S_b @faysmuazu @TheLastofUsNews That was my first idea, have it happen at the end of the season. So they leave… https://t.co/rHYMIUyxOB",0,Twitter for iPhone,
Martha Bayne,54998265,Chicago,2023-01-20 15:23:41,"It's official, I'm going to Seattle for #AWP this year. The Venn diagram of AWP  &amp; @IllinoisPress is narrow but pot… https://t.co/vZoEqN1rFW",4,Twitter Web App,
National Private Lending,1449082878139191301,Chicago IL,2023-01-20 14:44:11,Purchase or refinance a single rental property with National Private Lending Rental Property Loan… https://t.co/jNjaoJ8RQm,0,IFTTT,
too optimistic,894931909716975616,"Chicago, IL",2023-01-20 14:29:35,@jphilinTX @MVPdak4 Geno had them and Seattle fell apart after the fumble,0,Twitter for iPhone,
Seth A. Gonzalez,287669161,"Chicago, IL",2023-01-20 14:14:38,"@MeepleKonrad @rf_seattle @FlatoutGames @alderac Oh sh**! Let me guess, you started a campfire near your gaming tab… https://t.co/FZ7PWoCFJN",0,Twitter Web App,
🔭✨Astrology for Spiritual Astronauts ✨🚀,1526401035102822400,"Chicago, Illinois, USA",2023-01-20 13:56:01,"The hits keep on comin. 
I am once again asking for the internet to remember Seattle Councilwoman Kshama Sawant is… https://t.co/br73AfaBC8",0,Twitter Web App,
Ben White Fan Club President,760063249,"Chicago, IL",2023-01-20 13:47:56,@BravesSwearJar_ We’ll take Juicy in Seattle please,0,Twitter for iPhone,
Steven Briggs,471633199,"Chicago, IL",2023-01-20 04:25:31,"@AkinolaGG Have we? When I was in downtown Seattle by Pike’s Market in November that’s exactly what happened to me,… https://t.co/3aK7pcMLRL",0,Twitter for iPhone,
The Sky Show CHI,867056578113024000,"Chicago, IL",2023-01-20 01:40:22,We all should’ve known that this was how it was going to go down after Stef Dolson picked New York over Seattle las… https://t.co/DroVHMTCZz,0,Twitter for iPhone,
Jack Vita,274672908,Chicago,2023-01-19 23:46:28,"The Seattle Mariners have signed infielder Tommy La Stella to the league minimum, after the San Francisco Giants de… https://t.co/uanGhJFnD7",0,Twitter Web App,
Toronto Bonner,1730049950,"Chicago, IL",2023-01-19 23:43:43,"https://t.co/P589vqDgXg

The Seattle Sounders have signed forward Jordan Morris and midfielder Cristian Roldan to f… https://t.co/dOIo452vh5",0,Twitter for Android,
Fortress Solitude Level,1437937621490143234,"Chicago, IL",2023-01-19 22:41:34,"@Super70sSports In the 70’s, they made the Seattle expansion team cool whereas expansion team Tampa Bay just wallowed in suckness.",0,Twitter for iPhone,
THRIVE Center,432655112,"Chicago, IL",2023-01-19 22:21:06,"When I was getting ready to graduate from undergrad, I had no clue what I wanted to do – I wasn't even job hunting… https://t.co/8MDfVocJ7R",0,Twitter Web App,
GabeForFive.com,1550817996666535936,"Chicago, IL",2023-01-19 21:22:47,@BardBorker You're in Seattle? You have 7 followers?,0,Twitter for Android,
UChiPhysicalSciences,2932236063,"Chicago, Illinois",2023-01-19 20:42:52,Asst. Prof. Pedro Lopes @UChicagoCS shared the latest from the Human Computer Integration Lab in Seattle. https://t.co/uDDtDSIH4l,1,Twitter Web App,
Chicago Socialist Alternative,2572452355,"Chicago, Il",2023-01-19 18:48:17,Huge news out of Seattle! https://t.co/K7UiZj9bon,0,Twitter Web App,
Language Loop,204564086,Chicago,2023-01-19 18:00:00,"Need Ukrainian for your job, want to communicate with a Ukrainian friend, or simply curious about the language? Enr… https://t.co/Sl8YqVz93W",0,Twitter Web App,
kevo,1438196604033449984,"Chicago, IL",2023-01-19 17:51:05,Seattle says no lmfao https://t.co/oQPZQSj9Fr,0,Twitter for iPhone,
Matt Wedge,584206382,Chicago,2023-01-19 17:46:58,@phantasm2 I still despise 311 and Bush. All I ever heard out of The Toadies was that Possum Kingdom single. Learne… https://t.co/rjf805oSwZ,0,Twitter Web App,
